AAPL,AMZN,GOOG,MSFT,TSLA
40.38099670410156,59.45050048828125,52.8880729675293,79.19833374023438,21.368667602539062
40.373958587646484,60.209999084472656,53.75613784790039,79.56690216064453,21.149999618530273
40.561500549316406,60.47949981689453,53.95079803466797,80.26719665527344,20.974666595458984
41.02330780029297,61.457000732421875,54.73692321777344,81.26238250732422,21.10533332824707
40.870933532714844,62.34349822998047,54.970821380615234,81.34530639648438,22.42733383178711
40.86624526977539,62.6349983215332,54.93705368041992,81.2900161743164,22.246000289916992
40.856868743896484,62.71649932861328,54.755794525146484,80.92144775390625,22.31999969482422
41.08893966674805,63.83399963378906,54.90030288696289,81.1610107421875,22.530000686645508
41.51323699951172,65.26000213623047,55.73161697387695,82.56160736083984,22.4146671295166
41.302268981933594,65.24299621582031,55.706783294677734,81.40982055664062,22.67066764831543
41.98440933227539,64.75,56.21431350708008,83.05921173095703,23.143999099731445
42.021907806396484,64.66600036621094,56.105552673339844,83.0223388671875,22.971332550048828
41.83439636230469,64.72899627685547,56.488929748535156,82.93016815185547,23.334667205810547
41.49214553833008,66.3655014038086,57.39771270751953,84.41371154785156,23.437332153320312
41.50151443481445,68.12699890136719,58.10089874267578,84.68093872070312,23.519332885742188
40.840450286865234,67.87550354003906,57.816349029541016,84.60722351074219,23.05933380126953
40.111412048339844,68.89749908447266,58.120765686035156,85.0771713256836,22.50933265686035
40.2051887512207,70.10250091552734,58.39240646362305,86.6712646484375,22.856666564941406
39.37298583984375,70.88400268554688,58.37948989868164,86.5422592163086,23.302000045776367
39.14092254638672,71.89099884033203,57.78903579711914,85.4549560546875,23.05466651916504
39.248756408691406,72.54450225830078,58.09941101074219,87.54661560058594,23.62066650390625
39.33079528808594,69.5,57.9881706237793,86.85555267333984,23.28333282470703
37.62422561645508,71.49749755859375,55.217140197753906,84.57035064697266,22.916667938232422
36.68421936035156,69.5,52.43119430541992,81.0873031616211,22.208667755126953
38.217315673828125,72.14199829101562,53.66276931762695,84.15571594238281,22.264667510986328
37.39918518066406,70.83899688720703,52.072654724121094,82.57081604003906,23.0
36.37008285522461,67.5250015258789,49.73564529418945,78.33218383789062,21.01533317565918
36.81495666503906,66.9800033569336,51.53632354736328,81.25316619873047,20.69466781616211
38.29781723022461,69.3115005493164,52.23951721191406,82.12850952148438,21.048667907714844
38.68146514892578,70.72550201416016,52.24745559692383,82.77352142333984,21.577333450317383
39.3946533203125,72.55249786376953,53.12147521972656,84.06962585449219,21.487333297729492
40.71744918823242,73.08799743652344,54.10573959350586,85.78230285644531,22.271333694458008
40.58564376831055,72.43450164794922,54.36794662475586,85.17132568359375,22.365999221801758
40.44912338256836,73.4175033569336,54.74834442138672,85.83784484863281,22.31800079345703
40.26554489135742,74.14600372314453,55.189327239990234,84.69916534423828,22.219999313354492
40.60212326049805,74.26699829101562,54.95542526245117,84.92135620117188,23.077999114990234
41.30824279785156,75.0,55.95657730102539,87.0783920288086,23.469999313354492
42.124996185302734,76.09750366210938,56.79881286621094,88.33747863769531,23.827999114990234
41.98847198486328,75.5989990234375,55.534461975097656,87.20801544189453,23.39933204650879
41.9249382019043,75.62249755859375,54.86106872558594,86.80990600585938,22.87066650390625
41.190555572509766,74.67250061035156,53.1125373840332,85.95822143554688,22.062000274658203
